"","DateTimeUTC","Lat","Long","lc"
"245",2019-09-18 05:08:17,35.6568,-121.8281,3
"246",2019-09-18 05:16:02,35.6565,-121.8345,3
"247",2019-09-18 05:26:10,35.6536,-121.8453,3
"248",2019-09-18 05:32:09,35.6518,-121.8504,3
"249",2019-09-18 05:46:01,35.6529,-121.8634,3
"250",2019-09-18 06:01:19,35.653,-121.8795,3
"251",2019-09-18 06:06:42,35.6537,-121.8848,3
"252",2019-09-18 06:15:33,35.6572,-121.8922,3
"253",2019-09-18 06:17:14,35.6579,-121.8936,3
"254",2019-09-18 06:30:03,35.6609,-121.9014,3
"255",2019-09-18 06:33:24,35.6619,-121.9038,3
"256",2019-09-18 06:49:16,35.6687,-121.9087,3
"257",2019-09-18 06:53:01,35.6698,-121.9085,3
"258",2019-09-18 07:01:26,35.6718,-121.9056,3
"259",2019-09-18 07:06:04,35.6735,-121.9035,3
"260",2019-09-18 07:13:12,35.6786,-121.9032,3
"261",2019-09-18 07:16:03,35.6803,-121.9036,3
"262",2019-09-18 07:18:19,35.6817,-121.9043,3
"263",2019-09-18 07:33:13,35.6887,-121.9098,3
"264",2019-09-18 07:37:11,35.6904,-121.9112,3
"265",2019-09-18 07:48:19,35.6938,-121.9128,3
"266",2019-09-18 08:01:30,35.6976,-121.9159,3
"267",2019-09-18 08:08:46,35.7003,-121.9182,3
"268",2019-09-18 08:19:11,35.7066,-121.923,3
"269",2019-09-18 08:25:10,35.7095,-121.9246,3
"270",2019-09-18 08:28:16,35.7101,-121.9281,3
"271",2019-09-18 08:30:00,35.7103,-121.9302,3
"272",2019-09-18 08:37:26,35.7128,-121.9374,3
"273",2019-09-18 08:44:58,35.7173,-121.9414,3
"274",2019-09-18 08:51:19,35.7195,-121.9408,3
"275",2019-09-18 08:58:40,35.7217,-121.9365,3
"276",2019-09-18 09:02:10,35.7202,-121.9345,3
"277",2019-09-18 09:10:07,35.7172,-121.9298,3
"278",2019-09-18 09:13:48,35.7147,-121.9283,3
"279",2019-09-18 09:19:17,35.7126,-121.9263,3
"280",2019-09-18 09:37:30,35.6998,-121.921,3
"281",2019-09-18 09:48:33,35.6914,-121.9232,3
"282",2019-09-18 10:08:12,35.6875,-121.94,3
"283",2019-09-18 10:17:58,35.6872,-121.9499,3
"284",2019-09-18 10:38:51,35.6877,-121.9725,3
"285",2019-09-18 10:51:00,35.69,-121.9839,3
"286",2019-09-18 11:08:47,35.6944,-121.9998,3
"287",2019-09-18 11:24:04,35.6989,-122.0108,3
"288",2019-09-18 11:45:08,35.6987,-122.0332,3
"289",2019-09-18 11:55:41,35.6939,-122.0406,3
"290",2019-09-18 12:07:05,35.6898,-122.0436,3
"291",2019-09-18 12:17:47,35.6827,-122.0459,3
"292",2019-09-18 12:23:57,35.6785,-122.048,3
"293",2019-09-18 12:35:40,35.6776,-122.0498,3
"294",2019-09-18 12:37:19,35.6782,-122.0507,3
"295",2019-09-18 12:39:25,35.6788,-122.052,3
"296",2019-09-18 12:44:58,35.6819,-122.0556,3
"297",2019-09-18 13:02:17,35.6885,-122.0737,3
"298",2019-09-18 13:07:44,35.6875,-122.0789,3
