event-id,visible,timestamp,location-long,location-lat,expanded-time,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,behavioural-classification,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
679432327,TRUE,35:16.0,-31.03398562,45.26089552,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432328,TRUE,34:47.0,-31.08680022,45.35009828,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432329,TRUE,34:19.0,-31.14715748,45.45983669,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432330,TRUE,33:50.0,-31.194717,45.53718588,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432331,TRUE,33:21.0,-31.24508769,45.61178396,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432332,TRUE,32:52.0,-31.30044706,45.69903379,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432333,TRUE,32:23.0,-31.40904201,45.7923375,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432334,TRUE,31:55.0,-31.49789998,45.87972095,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432335,TRUE,31:26.0,-31.56334225,45.96264053,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432336,TRUE,30:57.0,-31.64862766,46.07748471,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432337,TRUE,30:28.0,-31.70371242,46.18530826,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432338,TRUE,29:59.0,-31.79349187,46.30543401,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432339,TRUE,29:31.0,-31.81447022,46.39776206,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432340,TRUE,29:02.0,-31.85761608,46.5051039,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432341,TRUE,28:33.0,-31.93078345,46.61254004,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432342,TRUE,28:04.0,-31.91164009,46.77014978,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432343,TRUE,27:35.0,-32.02755136,46.88270533,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432344,TRUE,27:07.0,-32.13240513,47.01783566,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432345,TRUE,26:38.0,-32.21323851,47.22834484,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432346,TRUE,26:09.0,-32.21801397,47.41645873,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432347,TRUE,25:40.0,-32.27894374,47.50823276,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432348,TRUE,25:11.0,-32.38240895,47.5984502,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432349,TRUE,24:43.0,-32.49974677,47.65581663,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432350,TRUE,24:14.0,-32.53185957,47.70872882,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432351,TRUE,23:45.0,-32.62325502,47.80966795,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432352,TRUE,23:16.0,-32.73297486,47.88910008,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432353,TRUE,22:47.0,-32.75833448,47.94218752,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432354,TRUE,22:19.0,-32.71064614,48.02410139,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432355,TRUE,21:50.0,-32.66060876,48.13024376,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432356,TRUE,21:21.0,-32.69014815,48.2733648,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432357,TRUE,20:52.0,-32.78751896,48.45195654,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432358,TRUE,20:23.0,-32.82526908,48.59725343,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432359,TRUE,19:55.0,-32.84086403,48.71362314,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432360,TRUE,19:26.0,-32.89122662,48.85470251,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432361,TRUE,18:57.0,-32.92232375,49.02691686,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432362,TRUE,18:28.0,-32.91185175,49.25817934,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432363,TRUE,17:59.0,-32.89077166,49.52020593,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432364,TRUE,17:31.0,-32.90454199,49.71833631,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432365,TRUE,17:02.0,-32.90245468,49.90100337,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432366,TRUE,16:33.0,-32.97440329,49.97526345,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432367,TRUE,16:04.0,-33.0226256,50.0960322,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432368,TRUE,15:35.0,-33.14556636,50.22847076,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432369,TRUE,15:07.0,-33.26504412,50.40756291,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
